name,chineseName,code,id,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,阿富汗,AFG,004,537777811.111111,548888895.555556,546666677.777778,1.11253711480272e-308,1.11253712687987e-308,1.1125371779333e-308,1.11253727509954e-308,1.11253734262188e-308,1.11253726851202e-308,1.11253727729541e-308,1.11253736128599e-308,1.11253738159762e-308,1.11253732340817e-308,1.11253735744381e-308,1.11253746174656e-308,1.11253751389794e-308,1.11253756055971e-308,1.11253765882389e-308,1.11253774446194e-308,1.11253784276626e-308,1.11253782887879e-308,1.1125377886284e-308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4055179566.34981,4515558808.10994,5226778808.89209,6209137624.77181,6971285594.68013,9747879531.86311,10109305182.952,12416161048.8412,15856678596.148,17805113118.8938,19907317065.6666,20146404996.223,20497126770.1335,19134211763.859,18116562464.9088,18753469630.2586,18053228578.8878,18799450742.7823,20116137325.8206
Albania,阿尔巴尼亚,ALB,008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11253738807705e-308,1.11253739788725e-308,1.11253744736202e-308,2080796250,2051236250,2253090000,2028553750,1099559027.77778,652174990.837304,1185315468.46295,1880951520.3972,2392764853.42107,3199641335.93751,2258513974.0968,2545964540.88383,3212121650.97755,3480355258.04122,3922100793.5403,4348068242.19512,5611496257.14231,7184685781.51876,8052073539.38058,8896072918.9814,10677324144.4289,12881353507.8539,12044208085.864,11926922828.9911,12890764531.3284,12319830437.3467,12776220507.0162,13228147516.1168,11386850129.8411,11861199830.8396,13019689336.6919,15156432309.8977,15400242874.8812,14887629268.2927
Algeria,阿尔及利亚,DZA,012,2723593384.78054,2434727329.809,2001428328.37091,1.11253759697347e-308,1.11253764794443e-308,1.11253770401249e-308,1.11253768019251e-308,1.11253776196248e-308,1.11253788085264e-308,1.11253798092637e-308,1.11253813069465e-308,1.11253818349417e-308,1.11253860086706e-308,1.11253908037786e-308,1.11254019256451e-308,1.11254077257402e-308,1.1125413087373e-308,1.11254211000157e-308,1.11254344214831e-308,1.11254514147002e-308,1.1125473901996e-308,1.1125478848314e-308,1.11254809688834e-308,1.11254898479374e-308,1.11255019449102e-308,1.11255124180885e-308,1.11255266332699e-308,66746396416.2732,59089067187.3943,55634414465.2104,62048562947.2509,45715614559.7064,48003078388.5401,49945599428.5812,42543178042.4148,41764315330.4366,46941582519.4661,48177612042.1507,48187747528.899,48640653469.3025,54790392746.1939,54744712814.8676,56760355865.0082,67863828412.6882,85332581188.6107,103198223709.439,117027307540.89,134977082623.78,171000699876.747,137211035770.034,161207270185.25,200013052199.2,209058991952.125,209755003250.664,213810024944.464,165979279263.174,160034163871.455,170097014589.134,174910878623.049,171767403748.19,145009181490.62
American Samoa,美属萨摩亚,ASM,016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.12e+08,5.24e+08,5.09e+08,5e+08,4.93e+08,5.18e+08,5.6e+08,6.75e+08,5.73e+08,5.7e+08,6.4e+08,6.38e+08,6.43e+08,6.73e+08,6.71e+08,6.12e+08,6.39e+08,6.48e+08,7.09e+08
Andorra,安道尔,AND,020,0,0,0,0,0,0,0,0,0,0,1.11253694867513e-308,1.11253695134076e-308,1.11253695726916e-308,1.11253696651112e-308,1.11253697533972e-308,1.11253698363226e-308,1.11253698539947e-308,1.11253699200492e-308,1.11253700534191e-308,1.11253703092696e-308,1.11253703953303e-308,1.11253702533917e-308,1.11253702211224e-308,1.11253701024623e-308,1.11253701079189e-308,1.11253701490926e-308,1.11253704832357e-308,611316399.407088,721425939.15155,795449332.396346,1029048481.88051,1106928582.86629,1210013651.87713,1007025755.00065,1017549124.33238,1178738991.19295,1223945356.62682,1180597272.72727,1211932397.81713,1239876305.13531,1429049198.45218,1546926174.49664,1755910031.99699,2361726862.30248,2894921777.99851,3159905484.39249,3456442102.622,3952600602.24473,4085630584.44412,3674409558.21061,3449966856.68832,3629203786.19154,3188808942.56713,3193704343.20627,3271808157.30038,2789870187.50693,2896679211.86628,3000180750.11297,3218316013.22626,3155065487.51819,0
Angola,安哥拉,AGO,024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11253839516455e-308,1.11253830123054e-308,1.11253830123054e-308,1.11253835903605e-308,1.11253844484104e-308,1.11253879647911e-308,1.11253867745396e-308,8089279284.72241,8775116269.16722,10207922517.1839,11236275842.7358,0,0,0,3390500000,5561222222.22222,7526963963.96396,7649716157.20524,6506619144.60285,6152936539.21955,9129634978.33773,8936063723.20121,15285594828.418,17812705294.325,23552052407.5488,36970918699.2523,52381006892.038,65266452081.386,88538611205.1433,70307163678.238,83799496611.2004,111789686464.441,128052853643.106,136709862831.194,145712200312.505,116193649124.151,101123851090.455,122123822333.59,101353230784.594,89417190341.2533,58375976292.9678
Anguilla,安圭拉岛,AIA,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antarctica,南极洲,ATA,010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,安提瓜和巴布达,ATG,028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11253694839784e-308,1.11253695096268e-308,1.11253695619994e-308,1.11253696172138e-308,1.11253696577536e-308,1.11253696985821e-308,1.11253697424917e-308,1.11253698072853e-308,1.11253698876972e-308,1.11253700100185e-308,337174861.851852,398637727.777778,438794788.518519,459470370.37037,481707407.407407,499281481.481481,535174074.074074,589429629.62963,577281481.481481,633729629.62963,680618518.518518,727859259.259259,766200000,826370370.37037,800481481.481481,814381481.481481,856396296.296296,919729629.62963,1022962962.96296,1157662962.96296,1312759259.25926,1370070370.37037,1228329629.62963,1148700000,1137637037.03704,1199948148.14815,1181448148.14815,1249733333.33333,1336692592.59259,1436585185.18519,1467977777.77778,1605944444.44444,1687533333.33333,1370281481.48148
Argentina,阿根廷,ARG,032,0,0,24450604877.6081,1.11254144306789e-308,1.11254325459064e-308,1.11254393132633e-308,1.11254400192059e-308,1.11254292144666e-308,1.11254346002508e-308,1.11254465058181e-308,1.11254473159025e-308,1.11254515376656e-308,1.11254550944477e-308,1.11254990934628e-308,1.11255482351519e-308,1.11254988332083e-308,1.11254956979961e-308,1.11255095602434e-308,1.11255127762898e-308,1.11255403685192e-308,1.11255594137488e-308,1.11255636501607e-308,1.11255775597007e-308,1.11256261550587e-308,1.11255646757412e-308,1.11255877107291e-308,1.11256433370216e-308,111106191358.197,126206817196.091,76636898036.4712,141352368714.691,189719984268.485,228788617201.696,236741715015.015,2.5744e+11,258031750000,272149750000,2.92859e+11,298948250000,2.83523e+11,284203750000,268696750000,97724004251.8602,127586973492.177,164657930452.787,198737095012.282,232557260817.308,287530508430.568,361558037110.419,332976484577.619,423627422092.49,530163281574.658,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557531376217.967,643628665302.155,524819742918.669,451932356085.842,389288056265.325
